a,un,article
the,el,article
I,yo,pronoun
he,él,pronoun
you,tú,pronoun
she,ella,pronoun
they,ellos,pronoun
we,nosotros,pronoun
it,eso,pronoun
me,yo,pronoun
him,él,pronoun
her,ella,pronoun
them,ellos,pronoun
us,nosotros,pronoun
those,esos,pronoun
your,tu,possessive
my,mi,possessive
his,su,possessive
her,su,possessive
their,su,possessive
and,y,conjunction
or,o,conjunction
with,con,conjunction
but,pero,conjunction
because,porque,conjunction
although,aunque,conjunction
then,pues,conjunction
except,excepto,conjunction
in,en,preposition
to,a,preposition
on,en,preposition
at,en,preposition
for,para,preposition
of,de,preposition
from,de,preposition
between,entre,preposition
without,sin,preposition
about,sobre,preposition
not,no,negation
is,es,verb
are,son,verb
am,soy,verb
walking,caminando,verb
watching,viendo,verb
seeing,viendo,verb
calling,llamando,verb
hearing,escuchando,verb
listening,escuchando,verb
trying,intendando,verb
working,trabajando,verb
eating,comiendo,verb
writing,escribiendo,verb
giving,dando,verb
studying,estudiando,verb
doing,haciendo,verb
sleeping,durmiendo,verb
reading,leyendo,verb
searching,buscando,verb
finding,encontrando,verb
thinking,pensando,verb
knowing,sabiendo,verb
wanting,deseando,verb
using,usando,verb
playing,jugando,verb
talking,hablando,verb
speaking,hablando,verb
gift,regalo,noun
rose,rosa,noun
cat,gato,noun
dog,perro,noun
tree,árbol,noun
fruit,fruta,noun
apple,manzana,noun
thanks,gracias,noun
church,iglesia,noun
hour,hora,noun
time,tiempo,noun
year,año,noun
people,gente,noun
way,camino,noun
day,día,noun
man,hombre,noun
thing,cosa,noun
woman,mujer,noun
life,vida,noun
child,niño,noun
world,mundo,noun
school,colegio,noun
state,estado,noun
family,familia,noun
student,estudiante,noun
group,grupo,noun
country,país,noun
problem,problema,noun
hand,mano,noun
part,parte,noun
place,lugar,noun
case,caso,noun
week,semana,noun
company,empresa,noun
system,sistema,noun
program,programa,noun
question,pregunta,noun
work,trabajo,noun
government,gobierno,noun
number,número,noun
night,noche,noun
point,punto,noun
home,casa,noun
water,agua,noun
room,habitación,noun
mother,madre,noun
area,zona,noun
money,dinero,noun
story,historia,noun
fact,hecho,noun
month,mes,noun
lot,mucho,noun
right,derecho,noun
book,libro,noun
eye,ojo,noun
job,trabajo,noun
word,palabra,noun
business,negocio,noun
issue,problema,noun
side,lado,noun
kind,tipo,noun
head,cabeza,noun
house,casa,noun
service,servicio,noun
friend,amigo,noun
father,padre,noun
power,poder,noun
game,juego,noun
line,línea,noun
end,fin,noun
member,miembro,noun
law,ley,noun
car,coche,noun
city,ciudad,noun
community,comunidad,noun
name,nombre,noun
president,presidente,noun
team,equipo,noun
minute,minuto,noun
idea,idea,noun
kid,niño,noun
body,cuerpo,noun
information,información,noun
back,espalda,noun
face,cara,noun
other,otro,noun
level,nivel,noun
office,oficina,noun
door,puerta,noun
health,salud,noun
person,persona,noun
art,art,noun
war,guerra,noun
history,historia,noun
party,fiesta,noun
result,resultado,noun
change,cambio,noun
morning,mañana,noun
reason,razón,noun
research,investigación,noun
girl,niña,noun
guy,chico,noun
moment,momento,noun
air,aire,noun
teacher,profesor,noun
force,fuerza,noun
education,educación,noun
favourite,favorito,adjective
red,rojo,adjective
beautiful,hermoso,adjective
green,verde,adjective
black,negro,adjective
white,blanco,adjective
good,bueno,adjective
bad,malo,adjective
big,grande,adjective
bitter,amargo,adjective
boring,aburrido,adjective
calm,tranquilo,adjective
cheap,barato,adjective
clear,claro,adjective
cold,frío,adjective
complicated,complicado,adjective
curious,curioso,adjective
dark,oscuro,adjective
difficult,difícil,adjective
diligent,aplicado,adjective
dirty,sucio,adjective
dry,seco,adjective
easy,fácil,adjective
empty,vacío,adjective
entertaining,divertido,adjective
expensive,caro,adjective
fair,justo,adjective
fat,gordo,adjective
few,poco,adjective
full,lleno,adjective
happy,feliz,adjective
hard,duro,adjective
healthy,sano,adjective
honest,honesto,adjective
interesting,interesante,adjective
lazy,perezoso,adjective
lean,flaco,adjective
long,largo,adjective
low,bajo,adjective
modest,modesto,adjective
much,mucho,adjective
narrow,estrecho,adjective
nervous,nervioso,adjective
new,nuevo,adjective
old,viejo,adjective
polite,cortés,adjective
poor,pobre,adjective
handsome,guapo,adjective
pure,puro,adjective
quick,rápido,adjective
rich,rico,adjective
sad,triste,adjective
salty,salado,adjective
short,corto,adjective
sick,enfermo,adjective
simple,sencillo,adjective
slow,lento,adjective
small,pequeño,adjective
strong,fuerte,adjective
stupid,tonto,adjective
sweet,dulce,adjective
tall,alto,adjective
thick,grueso,adjective
thin,delgado,adjective
tired,cansado,adjective
ugly,feo,adjective
unfair,injusto,adjective
warm,caliente,adjective
weak,débil,adjective
wide,ancho,adjective
young,joven,adjective
